28/09/2022 - 20:38:02, Cliente, send, 116 bytes
28/09/2022 - 20:38:02, Servidor, receive, 116 bytes
28/09/2022 - 20:38:02, Cliente, send, 116 bytes
28/09/2022 - 20:38:02, Servidor, receive, 116 bytes
28/09/2022 - 20:38:05, Cliente, send, 116 bytes
28/09/2022 - 20:38:05, Servidor, receive, 116 bytes
28/09/2022 - 20:38:05, Cliente, send, 116 bytes
28/09/2022 - 20:38:05, Servidor, receive, 116 bytes
28/09/2022 - 20:38:05, Cliente, send, 116 bytes
28/09/2022 - 20:38:05, Servidor, receive, 116 bytes
28/09/2022 - 20:38:06, Cliente, send, 116 bytes
28/09/2022 - 20:38:06, Servidor, receive, 116 bytes
28/09/2022 - 20:38:06, Cliente, send, 116 bytes
28/09/2022 - 20:38:06, Servidor, receive, 116 bytes
28/09/2022 - 20:38:07, Cliente, send, 116 bytes
28/09/2022 - 20:38:07, Servidor, receive, 116 bytes
28/09/2022 - 20:38:11, Cliente, send, 116 bytes
28/09/2022 - 20:38:11, Servidor, receive, 116 bytes
28/09/2022 - 20:38:13, Cliente, send, 116 bytes
28/09/2022 - 20:38:13, Servidor, receive, 116 bytes
28/09/2022 - 20:38:15, Cliente, send, 116 bytes
28/09/2022 - 20:38:15, Servidor, receive, 116 bytes
28/09/2022 - 20:38:16, Cliente, send, 116 bytes
28/09/2022 - 20:38:16, Servidor, receive, 116 bytes
28/09/2022 - 20:38:16, Cliente, send, 116 bytes
28/09/2022 - 20:38:16, Servidor, receive, 116 bytes
28/09/2022 - 20:38:18, Cliente, send, 116 bytes
28/09/2022 - 20:38:18, Servidor, receive, 116 bytes
28/09/2022 - 20:38:20, Cliente, send, 116 bytes
28/09/2022 - 20:38:20, Servidor, receive, 116 bytes
28/09/2022 - 20:38:24, Cliente, send, 116 bytes
28/09/2022 - 20:38:24, Servidor, receive, 116 bytes
28/09/2022 - 20:38:25, Cliente, send, 116 bytes
28/09/2022 - 20:38:25, Servidor, receive, 116 bytes
28/09/2022 - 20:38:28, Cliente, send, 116 bytes
28/09/2022 - 20:38:28, Servidor, receive, 116 bytes
28/09/2022 - 20:38:30, Cliente, send, 116 bytes
28/09/2022 - 20:38:30, Servidor, receive, 116 bytes
28/09/2022 - 20:38:32, Cliente, send, 116 bytes
28/09/2022 - 20:38:32, Servidor, receive, 116 bytes
28/09/2022 - 20:38:33, Cliente, send, 116 bytes
28/09/2022 - 20:38:33, Servidor, receive, 116 bytes
28/09/2022 - 20:38:37, Cliente, send, 116 bytes
28/09/2022 - 20:38:37, Servidor, receive, 116 bytes
28/09/2022 - 20:38:39, Cliente, send, 116 bytes
28/09/2022 - 20:38:39, Servidor, receive, 116 bytes
28/09/2022 - 20:38:43, Cliente, send, 116 bytes
28/09/2022 - 20:38:43, Servidor, receive, 116 bytes
28/09/2022 - 20:38:44, Cliente, send, 116 bytes
28/09/2022 - 20:38:44, Servidor, receive, 116 bytes
28/09/2022 - 20:38:48, Cliente, send, 116 bytes
28/09/2022 - 20:38:48, Servidor, receive, 116 bytes
28/09/2022 - 20:38:52, Cliente, send, 116 bytes
28/09/2022 - 20:38:52, Servidor, receive, 116 bytes
28/09/2022 - 20:38:54, Cliente, send, 116 bytes
28/09/2022 - 20:38:54, Servidor, receive, 116 bytes
28/09/2022 - 20:38:56, Cliente, send, 116 bytes
28/09/2022 - 20:38:56, Servidor, receive, 116 bytes
28/09/2022 - 20:38:59, Cliente, send, 116 bytes
28/09/2022 - 20:38:59, Servidor, receive, 116 bytes
28/09/2022 - 20:39:02, Cliente, send, 116 bytes
28/09/2022 - 20:39:02, Servidor, receive, 116 bytes
28/09/2022 - 20:39:04, Cliente, send, 116 bytes
28/09/2022 - 20:39:04, Servidor, receive, 116 bytes
28/09/2022 - 20:39:07, Cliente, send, 116 bytes
28/09/2022 - 20:39:07, Servidor, receive, 116 bytes
28/09/2022 - 20:39:10, Cliente, send, 116 bytes
28/09/2022 - 20:39:10, Servidor, receive, 116 bytes
28/09/2022 - 20:39:10, Cliente, send, 116 bytes
28/09/2022 - 20:39:10, Servidor, receive, 116 bytes
28/09/2022 - 20:39:12, Cliente, send, 116 bytes
28/09/2022 - 20:39:12, Servidor, receive, 116 bytes
28/09/2022 - 20:39:14, Cliente, send, 116 bytes
28/09/2022 - 20:39:14, Servidor, receive, 116 bytes
28/09/2022 - 20:39:15, Cliente, send, 116 bytes
28/09/2022 - 20:39:15, Servidor, receive, 116 bytes
28/09/2022 - 20:39:16, Cliente, send, 116 bytes
28/09/2022 - 20:39:16, Servidor, receive, 116 bytes
28/09/2022 - 20:39:20, Cliente, send, 116 bytes
28/09/2022 - 20:39:20, Servidor, receive, 116 bytes
28/09/2022 - 20:39:20, Cliente, send, 116 bytes
28/09/2022 - 20:39:20, Servidor, receive, 116 bytes
28/09/2022 - 20:39:21, Cliente, send, 116 bytes
28/09/2022 - 20:39:21, Servidor, receive, 116 bytes
28/09/2022 - 20:39:25, Cliente, send, 52 bytes
28/09/2022 - 20:39:25, Servidor, receive, 52 bytes
28/09/2022 - 20:40:10, Cliente, send, 116 bytes
28/09/2022 - 20:40:10, Servidor, receive, 116 bytes
28/09/2022 - 20:40:14, Cliente, send, 116 bytes
28/09/2022 - 20:40:14, Servidor, receive, 116 bytes
28/09/2022 - 20:40:14, Cliente, send, 116 bytes
28/09/2022 - 20:40:14, Servidor, receive, 116 bytes
28/09/2022 - 20:40:17, Cliente, send, 116 bytes
28/09/2022 - 20:40:17, Servidor, receive, 116 bytes
28/09/2022 - 20:40:18, Cliente, send, 116 bytes
28/09/2022 - 20:40:18, Servidor, receive, 116 bytes
28/09/2022 - 20:40:21, Cliente, send, 116 bytes
28/09/2022 - 20:40:21, Servidor, receive, 116 bytes
28/09/2022 - 20:40:24, Cliente, send, 116 bytes
28/09/2022 - 20:40:24, Servidor, receive, 116 bytes
28/09/2022 - 20:40:27, Cliente, send, 116 bytes
28/09/2022 - 20:40:27, Servidor, receive, 116 bytes
28/09/2022 - 20:40:31, Cliente, send, 116 bytes
28/09/2022 - 20:40:31, Servidor, receive, 116 bytes
28/09/2022 - 20:40:32, Cliente, send, 116 bytes
28/09/2022 - 20:40:32, Servidor, receive, 116 bytes
28/09/2022 - 20:40:36, Cliente, send, 116 bytes
28/09/2022 - 20:40:36, Servidor, receive, 116 bytes
28/09/2022 - 20:40:39, Cliente, send, 116 bytes
28/09/2022 - 20:40:39, Servidor, receive, 116 bytes
28/09/2022 - 20:40:40, Cliente, send, 116 bytes
28/09/2022 - 20:40:40, Servidor, receive, 116 bytes
28/09/2022 - 20:40:42, Cliente, send, 116 bytes
28/09/2022 - 20:40:42, Servidor, receive, 116 bytes
28/09/2022 - 20:40:42, Cliente, send, 116 bytes
28/09/2022 - 20:40:42, Servidor, receive, 116 bytes
28/09/2022 - 20:40:43, Cliente, send, 116 bytes
28/09/2022 - 20:40:43, Servidor, receive, 116 bytes
28/09/2022 - 20:40:46, Cliente, send, 116 bytes
28/09/2022 - 20:40:46, Servidor, receive, 116 bytes
28/09/2022 - 20:40:47, Cliente, send, 116 bytes
28/09/2022 - 20:40:47, Servidor, receive, 116 bytes
28/09/2022 - 20:40:48, Cliente, send, 116 bytes
28/09/2022 - 20:40:48, Servidor, receive, 116 bytes
28/09/2022 - 20:40:51, Cliente, send, 116 bytes
28/09/2022 - 20:40:51, Servidor, receive, 116 bytes
28/09/2022 - 20:40:51, Cliente, send, 116 bytes
28/09/2022 - 20:40:51, Servidor, receive, 116 bytes
